Question Number,English Content,Chinese Translation,wrong,reviewed,wrong_date,wrong_record,md5,mp3_path
261,Online courses enable people to improve their skills while employed.,在线课程使人们能够在就业时提高他们的技能。,0,0,[],[],891edcc4b9e92cc3c562dfb871950783,./wfd_mp3\891edcc4b9e92cc3c562dfb871950783.mp3
262,The university now faces a series of challenges of finance.,这所大学现在面临着一系列财务方面的挑战。,0,0,[],[],4d10973fec31d070bfb99b77a2ae7c86,./wfd_mp3\4d10973fec31d070bfb99b77a2ae7c86.mp3
263,The exam application system has been upgraded for professional exams.,针对专业考试我们升级了考试申请系统。,0,0,[],[],5798a387c10271444a735762d3fd1d03,./wfd_mp3\5798a387c10271444a735762d3fd1d03.mp3
264,New media have transcended traditional national boundaries.,新媒体超越了传统的国界。,0,0,[],[],322415d022663a5f6c48a7f965181826,./wfd_mp3\322415d022663a5f6c48a7f965181826.mp3
265,Please confirm that you have received the textbook.,请确认课本已经收到。,0,0,[],[],42e8ceff2ccad3dc59c08830a828df41,./wfd_mp3\42e8ceff2ccad3dc59c08830a828df41.mp3
266,The new lecture theater can accommodate a large number of students.,新的讲堂能容纳很多学生。,0,0,[],[],f88fd81be26c68bf9b1cb18240e0f1ed,./wfd_mp3\f88fd81be26c68bf9b1cb18240e0f1ed.mp3
267,All students can learn even though they have different speeds.,所有的学生都可以学习，即使他们有不同的速度。,0,0,[],[],805ef762587bb97e673f3f05f267ef7d,./wfd_mp3\805ef762587bb97e673f3f05f267ef7d.mp3
268,The marketing budget has been doubled since the beginning of the year.,营销预算自年初以来已经翻了一番。,0,0,[],[],607688124722e9c69b3de2aa3ab56c78,./wfd_mp3\607688124722e9c69b3de2aa3ab56c78.mp3
269,I will come back to this in a moment.,我稍后会回到这个问题上。,0,0,[],[],47406efd30901178c0e77338ebd97cfd,./wfd_mp3\47406efd30901178c0e77338ebd97cfd.mp3
270,The curriculum should be adjusted to the current development.,课程设置应适应当前的发展。,0,0,[],[],875f561a415248c3403dee0a4bea7763,./wfd_mp3\875f561a415248c3403dee0a4bea7763.mp3
271,The student shop sells a range of stationery.,学生商店出售各种文具。,0,0,[],[],37f0ff2ed9d65114ab6d93fb5af74364,./wfd_mp3\37f0ff2ed9d65114ab6d93fb5af74364.mp3
272,Let me give you an example to explain what I mean.,让我举个例子来解释我的意思。,0,0,[],[],491c86b48336c98ff472ee084bef006c,./wfd_mp3\491c86b48336c98ff472ee084bef006c.mp3
273,Tutors should set clear goals at the start of the class.,导师应该在课程开始时设定明确的目标。,0,0,[],[],3c6b1d63becdd9a8894681da63f2b664,./wfd_mp3\3c6b1d63becdd9a8894681da63f2b664.mp3
274,Courses on nutrition are growing in popularity every year.,营养课程每年都越来越受欢迎。,0,0,[],[],b077c951a08dcbd1e086ad946a617512,./wfd_mp3\b077c951a08dcbd1e086ad946a617512.mp3
275,"Strangely, people are simultaneously impressed by and skeptical about statistics.",奇怪的是，人们对统计数据既感到印象深刻又持怀疑态度。,0,0,[],[],bf59dce165575216ad216b6cba9ccb04,./wfd_mp3\bf59dce165575216ad216b6cba9ccb04.mp3
276,The timetable for the next term will be available next week.,下学期的课程表将于下周公布。,0,0,[],[],c600595b3bd861aee879ebd30913e606,./wfd_mp3\c600595b3bd861aee879ebd30913e606.mp3
277,"A demonstrated ability to write clear, correct, and concise English is obligatory.",具备清晰、准确和简洁的英语写作能力是必需的。,0,0,[],[],2620bc35b30120be8336d98d957f8926,./wfd_mp3\2620bc35b30120be8336d98d957f8926.mp3
278,"Most of the lectures begin punctually, so do not be late.",大多数的讲座都会准时开始，所以不要迟到。,0,0,[],[],1645d787ac1ea9d59752a2c46349887a,./wfd_mp3\1645d787ac1ea9d59752a2c46349887a.mp3
279,The stock market crash had repercussions throughout the world.,股市崩盘在全世界产生了影响。,0,0,[],[],1e1ca26f12bf1a176bc98b0d40022e5e,./wfd_mp3\1e1ca26f12bf1a176bc98b0d40022e5e.mp3
280,The student union hosts a variety of social events.,学生会举办各种各样的社交活动。,0,0,[],[],ec5adaa42dc22fa6a5a3493c598c3bc0,./wfd_mp3\ec5adaa42dc22fa6a5a3493c598c3bc0.mp3
281,Default designed packages are likely to be used for most computers.,大多数电脑都可能使用默认设计的包装。,0,0,[],[],570d8db3aa7c063bad1b78e2521e037e,./wfd_mp3\570d8db3aa7c063bad1b78e2521e037e.mp3
282,Some people believe that education should be free to everyone.,有些人认为教育应该对每个人免费。,0,0,[],[],77aa8defd3a94388b021320c027d1faf,./wfd_mp3\77aa8defd3a94388b021320c027d1faf.mp3
283,Formal conclusions could be established through rigorous experiments.,通过严格的实验可以得出正式的结论。,0,0,[],[],02a9c8a7f2743bb21e58ee1f3360bea9,./wfd_mp3\02a9c8a7f2743bb21e58ee1f3360bea9.mp3
284,Our faculty includes five libraries across the university.,我们学院在大学里有五间图书馆。,0,0,[],[],6ffbf32aacb60cd1fcfc7318a0361e6d,./wfd_mp3\6ffbf32aacb60cd1fcfc7318a0361e6d.mp3
285,The reception staff can give advice on renting private accommodation.,接待处的工作人员可以提供租用私人住所的建议。,0,0,[],[],1036cce63dbe3fbf1fd566b1298dced3,./wfd_mp3\1036cce63dbe3fbf1fd566b1298dced3.mp3
286,The library will be closed for staff training tomorrow morning.,图书馆将于明天上午闭馆进行员工培训。,0,0,[],[],3ee1b8675e68cea33befaddba526aa9a,./wfd_mp3\3ee1b8675e68cea33befaddba526aa9a.mp3
287,Too much information may have been avoided by the group research design.,小组研究设计可能避免了太多的信息。,0,0,[],[],2c2a526cda3c7b3c4af6ce7edb715d53,./wfd_mp3\2c2a526cda3c7b3c4af6ce7edb715d53.mp3
288,Critical thinking is an essential component of a broad education.,批判性思维是广泛教育的重要组成部分。,0,0,[],[],b0901b223131eb103621fb113b101b70,./wfd_mp3\b0901b223131eb103621fb113b101b70.mp3
289,You are allowed to use multiple devices in the examination.,你可以在考试中使用多种设备。,0,0,[],[],9b875d179546d0b75464e00bf44ea948,./wfd_mp3\9b875d179546d0b75464e00bf44ea948.mp3
290,The English degree involves work placements in the third year.,英语学位在第三年安排实习。,0,0,[],[],e4804bd70ab448f5c9fa0d313eaf5dc7,./wfd_mp3\e4804bd70ab448f5c9fa0d313eaf5dc7.mp3
291,Technologies have enormously transformed the lifestyle of the majority.,科技极大地改变了大多数人的生活方式。,0,0,[],[],ee48b2c522e3fe27c0c4ba0a7e0e7897,./wfd_mp3\ee48b2c522e3fe27c0c4ba0a7e0e7897.mp3
292,A regional assembly was moved to the devolution of power.,地方议会被转移到权力下放。,0,0,[],[],865cf2e7056fac22730a2073fe3e50ea,./wfd_mp3\865cf2e7056fac22730a2073fe3e50ea.mp3
293,The deadline for the scientific assignment will be extended.,科学作业的截止日期将会延长。,0,0,[],[],db92c66b212b27ae379d073bbf38fa21,./wfd_mp3\db92c66b212b27ae379d073bbf38fa21.mp3
294,Scientists recognize different ice types according to the water molecule content.,科学家们根据水分子的含量来识别不同类型的冰。,0,0,[],[],55ef70bcf9bf5da5c2eee108439cd979,./wfd_mp3\55ef70bcf9bf5da5c2eee108439cd979.mp3
295,Having a strong motivation is important to achieve your goals.,有一个强大的动力对实现你的目标很重要。,0,0,[],[],8afed9a1322799a01c6a91420d032bfd,./wfd_mp3\8afed9a1322799a01c6a91420d032bfd.mp3
296,It is interesting to observe the development of the language skills of toddlers.,观察幼儿语言技能的发展是很有趣的。,0,0,[],[],4cd0ba6546410efae15f8267e5462eb1,./wfd_mp3\4cd0ba6546410efae15f8267e5462eb1.mp3
297,Most teaching staff make their lecture notes available online.,大多数教师在网上提供他们的课堂笔记。,0,0,[],[],11d8738dfca56de995d62cb3552baaa1,./wfd_mp3\11d8738dfca56de995d62cb3552baaa1.mp3
298,Children start producing words before they are able to walk.,孩子们在会走路之前就开始说话了。,0,0,[],[],c64eb2f8f0c20afcc3cdf81865c718ba,./wfd_mp3\c64eb2f8f0c20afcc3cdf81865c718ba.mp3
299,The skills of a great stage actor cannot be taught.,伟大的舞台演员的技巧是教不来的。,0,0,[],[],a6c883caa3b53964d076bbd6ef832134,./wfd_mp3\a6c883caa3b53964d076bbd6ef832134.mp3
300,The jobs tomorrow will require higher skill levels.,未来的工作将需要更高的技能水平。,0,0,[],[],7faccb5886031d44ed6b59f2f84b8ba3,./wfd_mp3\7faccb5886031d44ed6b59f2f84b8ba3.mp3
301,The goal of the government is to increase the investments.,政府的目标是增加投资。,0,0,[],[],5530f4240377f952ab5321c3774fda28,./wfd_mp3\5530f4240377f952ab5321c3774fda28.mp3
302,Social media is responsible for helping the government to solve social problems.,社交媒体有责任帮助政府解决社会问题。,0,0,[],[],375d70b0d45eb3128010f14d564fcf88,./wfd_mp3\375d70b0d45eb3128010f14d564fcf88.mp3
303,The university library has a collection of early geography maps.,大学图书馆收藏了早期的地理地图。,0,0,[],[],4fa4a676dc4bfb74e2a9c12f3fd34aad,./wfd_mp3\4fa4a676dc4bfb74e2a9c12f3fd34aad.mp3
304,Courses are assessed by group work and individual assignments.,课程通过小组作业和个人作业进行评估。,0,0,[],[],2d513eeeee35f289a92cbb5dc6011d72,./wfd_mp3\2d513eeeee35f289a92cbb5dc6011d72.mp3
305,Online courses allow students to work at their own pace.,在线课程允许学生按照自己的节奏学习。,0,0,[],[],6b5423c02b347abf6e871292244d80d3,./wfd_mp3\6b5423c02b347abf6e871292244d80d3.mp3
306,The academic department needs to be supported by the government.,学术部门需要由政府提供支持。,0,0,[],[],4015c86f2351fac0242de8fbbaeb2eae,./wfd_mp3\4015c86f2351fac0242de8fbbaeb2eae.mp3
307,Businesses must adapt to the general data protection regulations.,企业必须适应通用数据保护法规。,0,0,[],[],4b677b17b70dfa9e1705a12b5dd908a3,./wfd_mp3\4b677b17b70dfa9e1705a12b5dd908a3.mp3
308,"When sentencing, the court will consider whether the criminal is guilty or not.",在宣判时，法院将考虑罪犯是否有罪。,0,0,[],[],a504a78825204f27beb1f3dcb47b4ccd,./wfd_mp3\a504a78825204f27beb1f3dcb47b4ccd.mp3
309,The internet has transformed the nature of publishing.,互联网改变了出版业的本质。,0,0,[],[],8962afee3a094a963ade6a84f9bf3060,./wfd_mp3\8962afee3a094a963ade6a84f9bf3060.mp3
310,More research is required in the field of food science.,在食品科学领域需要进行更多的研究。,0,0,[],[],417e03e15d19380e3ea5c13067d04168,./wfd_mp3\417e03e15d19380e3ea5c13067d04168.mp3
311,Many important policies need to be made.,需要制定许多重要的政策。,0,0,[],[],0066006124ef4f188c6b48d49d9d95a9,./wfd_mp3\0066006124ef4f188c6b48d49d9d95a9.mp3
312,The academic tradition of the school ensures excellence.,学校的学术传统保证了卓越。,0,0,[],[],33f1da208bc945f1db47808120fdcc1b,./wfd_mp3\33f1da208bc945f1db47808120fdcc1b.mp3
313,The scientists found most of the studies today.,科学家们创立了目前大部分的研究。,0,0,[],[],0ed622aa798a84bda9efda30c1906109,./wfd_mp3\0ed622aa798a84bda9efda30c1906109.mp3
314,"For the small business, making profit is the main priority.",对于小企业来说，盈利是首要任务。,0,0,[],[],b6ec89dbce937d6e955fd1afad794078,./wfd_mp3\b6ec89dbce937d6e955fd1afad794078.mp3
315,Agriculture development is vital for poor rural areas.,农业发展对贫困农村地区至关重要。,0,0,[],[],84282abb4dbfa1687561e0f37ec9cde8,./wfd_mp3\84282abb4dbfa1687561e0f37ec9cde8.mp3
316,The new research has produced some unexpected results.,这项新研究产生了一些意想不到的结果。,0,0,[],[],c7a9e2e542158efb2e5a2e4c3893e248,./wfd_mp3\c7a9e2e542158efb2e5a2e4c3893e248.mp3
